_id,name,lat,long,category,loc,distance
{'$oid': '602150f628ec95f95d4ec00a'},AVE Madrid - Barcelona,40.406066611779096,-3.690075403903815,'Train',"{'type': 'Point', 'coordinates': [-3.690075403903815, 40.406066611779096]}",2.765984487766308
{'$oid': '602150f628ec95f95d4ec018'},Via 7,40.405445,-3.687446,'Platform' ,"{'type': 'Point', 'coordinates': [-3.687446, 40.405445]}",2.7676466815284932
{'$oid': '602150f628ec95f95d4ec00b'},AVE Madrid - Sevilla,40.40580888292935,-3.6894660791777474,'Train',"{'type': 'Point', 'coordinates': [-3.6894660791777474, 40.40580888292935]}",2.7766366936324203
{'$oid': '602150f628ec95f95d4ebff6'},Estación de Cercanías de Madrid-Atocha,40.40549664945596,-3.688215570235963,'Train Station',"{'type': 'Point', 'coordinates': [-3.688215570235963, 40.40549664945596]}",2.7790671907906015
{'$oid': '602150f628ec95f95d4ec00c'},AVE Madrid - Zaragoza,40.40565826914332,-3.689238203524386,'Train',"{'type': 'Point', 'coordinates': [-3.689238203524386, 40.40565826914332]}",2.7866796400095892
{'$oid': '602150f628ec95f95d4ec00d'},AVE Madrid-Alicante,40.40592915292434,-3.690432085199192,'Train',"{'type': 'Point', 'coordinates': [-3.690432085199192, 40.40592915292434]}",2.7904714133828303
{'$oid': '602150f628ec95f95d4ec00f'},Alvia Madrid Pamplona,40.40567646587863,-3.6894845909584215,'Train',"{'type': 'Point', 'coordinates': [-3.6894845909584215, 40.40567646587863]}",2.791123358357967
{'$oid': '602150f628ec95f95d4ec01c'},Andén 6 AVE,40.40565802842345,-3.689431402381641,'Platform' ,"{'type': 'Point', 'coordinates': [-3.689431402381641, 40.40565802842345]}",2.7916866637851396
{'$oid': '602150f628ec95f95d4ec010'},AVE Madrid - Huesca,40.40570482998021,-3.6896394635150007,'Train',"{'type': 'Point', 'coordinates': [-3.6896394635150007, 40.40570482998021]}",2.7922060688917734
{'$oid': '602150f628ec95f95d4ebffe'},AVE Madrid-Albacete,40.4057052390158,-3.6896989097103496,'Train Station',"{'type': 'Point', 'coordinates': [-3.6896989097103496, 40.4057052390158]}",2.7937446028880504
{'$oid': '602150f628ec95f95d4ec01d'},Via 4,40.405602314217056,-3.6893287280154,'Platform' ,"{'type': 'Point', 'coordinates': [-3.6893287280154, 40.405602314217056]}",2.7949303084042887
{'$oid': '602150f628ec95f95d4ec01f'},Vía 5,40.40555829939803,-3.689153988868909,'Platform' ,"{'type': 'Point', 'coordinates': [-3.689153988868909, 40.40555829939803]}",2.795143200101719
{'$oid': '602150f628ec95f95d4ec01e'},Vía 7,40.40558189153312,-3.689262972567396,'Platform' ,"{'type': 'Point', 'coordinates': [-3.689262972567396, 40.40558189153312]}",2.79540940439531
{'$oid': '602150f628ec95f95d4ec020'},Vía 1 Cercanias Atocha,40.4055865615712,-3.68932833104244,'Platform' ,"{'type': 'Point', 'coordinates': [-3.68932833104244, 40.4055865615712]}",2.7965890320285607
{'$oid': '602150f628ec95f95d4ec021'},Vía 8 Cercanías Atocha,40.40557278249248,-3.689293235969196,'Platform' ,"{'type': 'Point', 'coordinates': [-3.689293235969196, 40.40557278249248]}",2.7971489280112634
{'$oid': '602150f628ec95f95d4ec011'},Altaria Madrid - Algeciras,40.405780403352736,-3.6901249428221687,'Train',"{'type': 'Point', 'coordinates': [-3.6901249428221687, 40.405780403352736]}",2.7974202532572217
{'$oid': '602150f628ec95f95d4ec022'},Vía 2 Estación de Madrid-Puerta de Atocha,40.40560521190728,-3.689473457165494,'Platform' ,"{'type': 'Point', 'coordinates': [-3.689473457165494, 40.40560521190728]}",2.7983699155450834
{'$oid': '602150f628ec95f95d4ec012'},MD Madrid-Jaén,40.40537145315646,-3.6887923628250174,'Train',"{'type': 'Point', 'coordinates': [-3.6887923628250174, 40.40537145315646]}",2.8060597404057073
{'$oid': '602150f628ec95f95d4ec014'},AVE Madrid-Cordoba,40.40535271245656,-3.6890945433141975,'Train',"{'type': 'Point', 'coordinates': [-3.6890945433141975, 40.40535271245656]}",2.8154840070718428
{'$oid': '602150f628ec95f95d4ec024'},Via 8,40.405504027978274,-3.68971872512433,'Platform' ,"{'type': 'Point', 'coordinates': [-3.68971872512433, 40.405504027978274]}",2.815512724647016
{'$oid': '602150f628ec95f95d4ec015'},AVE Madrid-Tarragona,40.40555552562845,-3.6899471282958975,'Train',"{'type': 'Point', 'coordinates': [-3.6899471282958975, 40.40555552562845]}",2.8162041139650293
{'$oid': '602150f628ec95f95d4ec002'},Anden 5 AVE Estación de Madrid-Puerta de Atocha,40.4053859555181,-3.6894660791777474,'Train Station',"{'type': 'Point', 'coordinates': [-3.6894660791777474, 40.4053859555181]}",2.8213865311036903
{'$oid': '602150f628ec95f95d4ec019'},ALVIA Madrid-Cádiz,40.40517331809768,-3.68913417367624,'Train',"{'type': 'Point', 'coordinates': [-3.68913417367624, 40.40517331809768]}",2.835536706088607
{'$oid': '602150f628ec95f95d4ec025'},Via 12,40.405205444104205,-3.689367002680534,'Platform' ,"{'type': 'Point', 'coordinates': [-3.689367002680534, 40.405205444104205]}",2.837978752704358
{'$oid': '602150f628ec95f95d4ec026'},Via 14,40.40545843436099,-3.690392453819909,'Platform' ,"{'type': 'Point', 'coordinates': [-3.690392453819909, 40.40545843436099]}",2.8386820866651195
{'$oid': '602150f628ec95f95d4ec027'},Vía 10 Estación de Madrid-Puerta de Atocha,40.40517635174504,-3.689342233586564,'Platform' ,"{'type': 'Point', 'coordinates': [-3.689342233586564, 40.40517635174504]}",2.84043628099324
{'$oid': '602150f628ec95f95d4ec01a'},AVE Madrid - Valencia,40.40525447143766,-3.689679094304134,'Train',"{'type': 'Point', 'coordinates': [-3.689679094304134, 40.40525447143766]}",2.8408396469900925
{'$oid': '602150f628ec95f95d4ec01b'},AVE Madrid-Málaga,40.40529605395508,-3.689991187853993,'Train',"{'type': 'Point', 'coordinates': [-3.689991187853993, 40.40529605395508]}",2.8447384317885422
{'$oid': '602150f628ec95f95d4ec003'},Vía 11,40.40514792858796,-3.689649371209372,'Train Station',"{'type': 'Point', 'coordinates': [-3.689649371209372, 40.40514792858796]}",2.851334121611611
{'$oid': '602150f628ec95f95d4ec028'},Via 13,40.40525305847318,-3.690342914639485,'Platform' ,"{'type': 'Point', 'coordinates': [-3.690342914639485, 40.40525305847318]}",2.8588693905711833
{'$oid': '602150f628ec95f95d4ebfff'},Parking Ave,40.4045887329377,-3.687514307941707,'Train Station',"{'type': 'Point', 'coordinates': [-3.687514307941707, 40.4045887329377]}",2.861355552475789
{'$oid': '602150f628ec95f95d4ec023'},AVE Madrid-Toledo,40.404815,-3.688744,'Train',"{'type': 'Point', 'coordinates': [-3.688744, 40.404815]}",2.864253145515982
